Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Section 7,FB80E49E,Thu Apr 07 2022 11:01:54 GMT-0500 (CDT),Not set,3600,4772,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Mon Sep 20 2021 16:01:54 GMT-0500 (CDT),24.3,56.5,15.2
1,Mon Sep 20 2021 17:01:54 GMT-0500 (CDT),23.7,56.0,14.5
2,Mon Sep 20 2021 18:01:54 GMT-0500 (CDT),23.6,55.8,14.3
3,Mon Sep 20 2021 19:01:54 GMT-0500 (CDT),23.2,55.8,14.0
4,Mon Sep 20 2021 20:01:54 GMT-0500 (CDT),23.1,55.8,13.9
5,Mon Sep 20 2021 21:01:54 GMT-0500 (CDT),22.9,55.8,13.7
6,Mon Sep 20 2021 22:01:54 GMT-0500 (CDT),22.9,55.8,13.7
7,Mon Sep 20 2021 23:01:54 GMT-0500 (CDT),22.9,55.8,13.7
8,Tue Sep 21 2021 00:01:54 GMT-0500 (CDT),22.9,55.8,13.7
9,Tue Sep 21 2021 01:01:54 GMT-0500 (CDT),23.0,55.7,13.8
10,Tue Sep 21 2021 02:01:54 GMT-0500 (CDT),22.9,55.7,13.7
11,Tue Sep 21 2021 03:01:54 GMT-0500 (CDT),22.8,55.7,13.6
12,Tue Sep 21 2021 04:01:54 GMT-0500 (CDT),22.8,55.6,13.5
13,Tue Sep 21 2021 05:01:54 GMT-0500 (CDT),22.9,55.6,13.6
14,Tue Sep 21 2021 06:01:54 GMT-0500 (CDT),22.9,55.6,13.6
15,Tue Sep 21 2021 07:01:54 GMT-0500 (CDT),22.9,55.6,13.6
16,Tue Sep 21 2021 08:01:54 GMT-0500 (CDT),22.8,55.6,13.5
17,Tue Sep 21 2021 09:01:54 GMT-0500 (CDT),22.9,55.5,13.6
18,Tue Sep 21 2021 10:01:54 GMT-0500 (CDT),24.3,55.3,14.9
19,Tue Sep 21 2021 11:01:54 GMT-0500 (CDT),23.9,55.3,14.5
20,Tue Sep 21 2021 12:01:54 GMT-0500 (CDT),23.8,55.1,14.3
21,Tue Sep 21 2021 13:01:54 GMT-0500 (CDT),23.6,55.1,14.1
22,Tue Sep 21 2021 14:01:54 GMT-0500 (CDT),23.7,55.0,14.2
23,Tue Sep 21 2021 15:01:54 GMT-0500 (CDT),23.9,54.9,14.4
24,Tue Sep 21 2021 16:01:54 GMT-0500 (CDT),23.8,54.8,14.3
25,Tue Sep 21 2021 17:01:54 GMT-0500 (CDT),23.8,54.7,14.2
26,Tue Sep 21 2021 18:01:54 GMT-0500 (CDT),23.5,54.6,13.9
27,Tue Sep 21 2021 19:01:54 GMT-0500 (CDT),22.9,54.7,13.4
28,Tue Sep 21 2021 20:01:54 GMT-0500 (CDT),22.8,54.7,13.3
29,Tue Sep 21 2021 21:01:54 GMT-0500 (CDT),22.7,54.7,13.2
30,Tue Sep 21 2021 22:01:54 GMT-0500 (CDT),22.7,54.6,13.2
31,Tue Sep 21 2021 23:01:54 GMT-0500 (CDT),22.7,54.6,13.2
32,Wed Sep 22 2021 00:01:54 GMT-0500 (CDT),22.6,54.6,13.1
33,Wed Sep 22 2021 01:01:54 GMT-0500 (CDT),22.6,54.6,13.1
34,Wed Sep 22 2021 02:01:54 GMT-0500 (CDT),22.6,54.6,13.1
35,Wed Sep 22 2021 03:01:54 GMT-0500 (CDT),22.6,54.5,13.0
36,Wed Sep 22 2021 04:01:54 GMT-0500 (CDT),22.6,54.5,13.0
37,Wed Sep 22 2021 05:01:54 GMT-0500 (CDT),22.7,54.5,13.1
38,Wed Sep 22 2021 06:01:54 GMT-0500 (CDT),22.6,54.5,13.0
39,Wed Sep 22 2021 07:01:54 GMT-0500 (CDT),22.4,54.4,12.8
40,Wed Sep 22 2021 08:01:54 GMT-0500 (CDT),22.4,54.3,12.8
41,Wed Sep 22 2021 09:01:54 GMT-0500 (CDT),22.7,54.3,13.1
42,Wed Sep 22 2021 10:01:54 GMT-0500 (CDT),22.7,54.3,13.1
43,Wed Sep 22 2021 11:01:54 GMT-0500 (CDT),22.6,54.3,13.0
44,Wed Sep 22 2021 12:01:54 GMT-0500 (CDT),22.6,54.3,13.0
45,Wed Sep 22 2021 13:01:54 GMT-0500 (CDT),22.7,54.4,13.1
46,Wed Sep 22 2021 14:01:54 GMT-0500 (CDT),22.8,54.3,13.2
47,Wed Sep 22 2021 15:01:54 GMT-0500 (CDT),22.7,54.3,13.1
48,Wed Sep 22 2021 16:01:54 GMT-0500 (CDT),22.6,54.2,13.0
49,Wed Sep 22 2021 17:01:54 GMT-0500 (CDT),22.7,54.0,13.0
50,Wed Sep 22 2021 18:01:54 GMT-0500 (CDT),22.6,53.7,12.8
51,Wed Sep 22 2021 19:01:54 GMT-0500 (CDT),22.5,53.5,12.7
52,Wed Sep 22 2021 20:01:54 GMT-0500 (CDT),22.5,53.3,12.6
53,Wed Sep 22 2021 21:01:54 GMT-0500 (CDT),22.3,53.2,12.4
54,Wed Sep 22 2021 22:01:54 GMT-0500 (CDT),22.0,53.2,12.1
55,Wed Sep 22 2021 23:01:54 GMT-0500 (CDT),22.1,53.2,12.2
56,Thu Sep 23 2021 00:01:54 GMT-0500 (CDT),22.0,53.1,12.1
57,Thu Sep 23 2021 01:01:54 GMT-0500 (CDT),21.9,53.0,12.0
58,Thu Sep 23 2021 02:01:54 GMT-0500 (CDT),22.0,52.9,12.0
59,Thu Sep 23 2021 03:01:54 GMT-0500 (CDT),21.9,52.9,11.9
60,Thu Sep 23 2021 04:01:54 GMT-0500 (CDT),21.8,52.8,11.8
61,Thu Sep 23 2021 05:01:54 GMT-0500 (CDT),21.8,52.7,11.8
62,Thu Sep 23 2021 06:01:54 GMT-0500 (CDT),21.8,52.6,11.8
63,Thu Sep 23 2021 07:01:54 GMT-0500 (CDT),21.9,52.5,11.8
64,Thu Sep 23 2021 08:01:54 GMT-0500 (CDT),21.8,52.5,11.7
65,Thu Sep 23 2021 09:01:54 GMT-0500 (CDT),22.2,52.4,12.1
66,Thu Sep 23 2021 10:01:54 GMT-0500 (CDT),22.4,52.2,12.2
67,Thu Sep 23 2021 11:01:54 GMT-0500 (CDT),22.5,52.1,12.3
68,Thu Sep 23 2021 12:01:54 GMT-0500 (CDT),22.5,52.0,12.2
69,Thu Sep 23 2021 13:01:54 GMT-0500 (CDT),22.5,51.9,12.2
70,Thu Sep 23 2021 14:01:54 GMT-0500 (CDT),22.4,51.8,12.1
71,Thu Sep 23 2021 15:01:54 GMT-0500 (CDT),22.3,51.6,11.9
72,Thu Sep 23 2021 16:01:54 GMT-0500 (CDT),22.3,51.5,11.9
73,Thu Sep 23 2021 17:01:54 GMT-0500 (CDT),22.5,51.3,12.0
74,Thu Sep 23 2021 18:01:54 GMT-0500 (CDT),22.3,51.2,11.8
75,Thu Sep 23 2021 19:01:54 GMT-0500 (CDT),22.2,51.1,11.7
76,Thu Sep 23 2021 20:01:54 GMT-0500 (CDT),22.1,51.1,11.6
77,Thu Sep 23 2021 21:01:54 GMT-0500 (CDT),22.1,51.0,11.6
78,Thu Sep 23 2021 22:01:54 GMT-0500 (CDT),22.0,50.9,11.5
79,Thu Sep 23 2021 23:01:54 GMT-0500 (CDT),21.8,50.8,11.2
80,Fri Sep 24 2021 00:01:54 GMT-0500 (CDT),21.8,50.8,11.2
81,Fri Sep 24 2021 01:01:54 GMT-0500 (CDT),21.8,50.6,11.2
82,Fri Sep 24 2021 02:01:54 GMT-0500 (CDT),21.8,50.5,11.2
83,Fri Sep 24 2021 03:01:54 GMT-0500 (CDT),21.9,50.4,11.2
84,Fri Sep 24 2021 04:01:54 GMT-0500 (CDT),21.9,50.3,11.2
85,Fri Sep 24 2021 05:01:54 GMT-0500 (CDT),21.9,50.3,11.2
86,Fri Sep 24 2021 06:01:54 GMT-0500 (CDT),21.8,50.2,11.1
87,Fri Sep 24 2021 07:01:54 GMT-0500 (CDT),21.9,50.1,11.1
88,Fri Sep 24 2021 08:01:54 GMT-0500 (CDT),22.5,50.0,11.7
89,Fri Sep 24 2021 09:01:54 GMT-0500 (CDT),23.0,49.8,12.1
